SIF,dadn
2.847812456,6.28E-11
2.94441207,1.00E-10
3.013662344,1.41E-10
3.169442543,2.13E-10
3.323368818,3.08E-10
3.567858878,4.44E-10
3.807510272,5.74E-10
4.063661386,8.42E-10
4.38816814,1.14E-09
4.73850516,1.50E-09
5.147202521,2.06E-09
5.590588748,2.48E-09
6.072335322,3.10E-09
6.595810138,4.04E-09
7.164683933,5.53E-09
7.782966588,8.01E-09
8.454176456,1.09E-08
9.182865247,1.39E-08
9.974519542,1.82E-08
10.83503942,2.56E-08
11.76909032,3.34E-08
12.78398609,4.49E-08
13.88591705,5.78E-08
15.08283027,7.45E-08
16.38280918,9.51E-08
17.79578964,1.30E-07
19.32867925,1.56E-07
20.99420641,1.95E-07
22.80346635,2.45E-07
24.76762768,2.94E-07
26.90343936,3.95E-07
29.22176622,4.95E-07
31.73926567,6.04E-07
34.47863334,8.87E-07
36.83816688,1.15646E-06
37.68454753,1.758E-06
39.15654019,3.09541E-06
40.7405448,1.03059E-05
40.48706236,6.58611E-06
40.71037594,3.98991E-06
